# To display the perf.data header info, please use --header/--header-only options.
#
# comm: nerd
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu/cycles/Pu'
# Event count (approx.): 235456187
#
# Overhead  Shared Object         Symbol                                    
# ........  ....................  ..........................................
#
     0.00%  [unknown]             [k] 0xffffffffb8400250
     0.00%  [unknown]             [k] 0xffffffffb86a87ce
     0.00%  [unknown]             [k] 0xffffffffb86a8d90
     0.00%  [unknown]             [k] 0xffffffffb8704f3a
     0.00%  [unknown]             [k] 0xffffffffb879190d
     0.00%  [unknown]             [k] 0xffffffffb9a120b5
     0.00%  [unknown]             [k] 0xffffffffb9a120be
     0.00%  [unknown]             [k] 0xffffffffb9a120cc
     0.00%  [unknown]             [k] 0xffffffffb9a12115
     0.00%  [unknown]             [k] 0xffffffffb9a28350


#
# (Tip: To set sample time separation other than 100ms with --sort time use --time-quantum)
#
